Invoice ID,City,Customer_age,Gender,Product_line,Unit_price,Quantity,Tax 5%,Total,Date,Time,Payment,gross margin percentage,gross income,rating,Item_Visibility,monthly_income
756-01-7507,Naypyitaw,32,Male,health_gadget,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,4.761904762,5.095,6,0.065128984,22000
870-72-4431,Naypyitaw,23,Male,health_gadget,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,4.761904762,29.757,5.5,0.024816585,28893
847-38-7188,Mandalay,22,Male,pendrive,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,4.761904762,14.502,6.4,0.005988175,20002
480-63-2856,Naypyitaw,33,Male,pendrive,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,4.761904762,7.7,6.6,0.034473804,53150
787-56-0757,Naypyitaw,45,Male,pendrive,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,4.761904762,16.072,8.3,0.028987582,80000
360-39-5055,Naypyitaw,56,Male,computers,48.91,5,12.2275,256.7775,03-09-2019,10:17,Cash,4.761904762,12.2275,6.6,0.032078604,10400
730-50-9884,Naypyitaw,33,Male,computers,83.06,7,29.071,610.491,03-05-2019,14:31,Ewallet,4.761904762,29.071,4,0.013593151,21440
362-58-8315,Naypyitaw,34,Male,hardisk,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,4.761904762,19.13,9.9,0.015911432,32165
633-44-8566,Yangon,38,Male,pendrive,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,4.761904762,17.283,7.3,0.005588601,48800
504-35-8843,Yangon,25,Male,computers,42.47,1,2.1235,44.5935,01-02-2019,16:57,Cash,4.761904762,2.1235,5.7,0.139510771,79834
318-68-5053,Mandalay,25,Male,health_gadget,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,4.761904762,23.097,6.1,0.262504325,43450
565-80-5980,Naypyitaw,34,Male,home_appliances,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,4.761904762,9.476,7.1,0,30650
225-32-0908,Naypyitaw,44,Male,computers,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,4.761904762,22.43,8.2,0.056783774,53576
873-51-0671,Yangon,44,Female,computers,21.98,7,7.693,161.553,01-10-2019,16:42,Ewallet,4.761904762,7.693,5.1,0.041536279,50000
152-08-9985,Mandalay,65,Male,health_gadget,64.36,9,28.962,608.202,03-12-2019,12:09,Credit card,4.761904762,28.962,8.6,0.079538056,50234
512-91-0811,Naypyitaw,43,Male,health_gadget,89.75,1,4.4875,94.2375,02-06-2019,20:05,Credit card,4.761904762,4.4875,6.6,0.064057374,74074
594-34-4444,Yangon,33,Male,electronics,97.16,1,4.858,102.018,03-08-2019,20:38,Ewallet,4.761904762,4.858,7.2,0.017156262,33000
766-85-7061,Mandalay,33,Male,health_gadget,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,4.761904762,43.935,5.1,0.054540968,45631
871-39-9221,Naypyitaw,33,Female,electronics,12.45,6,3.735,78.435,02-09-2019,13:11,Cash,4.761904762,3.735,4.1,0.045648973,42555
865-92-6136,Yangon,21,Male,pendrive,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,4.761904762,7.9125,9.3,0.065917194,50866
733-01-9107,Mandalay,45,Male,home_appliances,82.7,6,24.81,521.01,03-05-2019,18:14,Cash,4.761904762,24.81,7.4,0.058687359,51780
163-56-7055,Naypyitaw,55,Male,hardisk,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,4.761904762,2.4355,4.1,0.009908113,82265
189-98-2939,Naypyitaw,54,Male,hardisk,78.55,9,35.3475,742.2975,03-01-2019,13:22,Cash,4.761904762,35.3475,7.2,0.094395215,77621
551-21-3069,Naypyitaw,53,Female,electronics,23.07,9,10.3815,218.0115,02-01-2019,11:27,Cash,4.761904762,10.3815,4.9,0.02777326,82301
212-62-1842,Yangon,53,Male,pendrive,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,4.761904762,17.478,9.9,0.006326106,72001
716-39-1409,Mandalay,56,Male,health_gadget,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,4.761904762,10.6225,8,0.143990546,21503
704-48-3927,Yangon,55,Male,electronics,88.67,10,44.335,931.035,01-12-2019,14:50,Ewallet,4.761904762,44.335,7.3,0.09233359,30430
628-34-3388,Naypyitaw,33,Male,hardisk,27.38,6,8.214,172.494,01-05-2019,20:54,Credit card,4.761904762,8.214,7.9,0.083661793,79578
630-74-5166,Yangon,29,Male,computers,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,4.761904762,18.639,7.4,0.042022999,79221
588-01-7461,Naypyitaw,28,Female,pendrive,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,4.761904762,15.291,4.2,0.072044336,59075
861-77-0145,Naypyitaw,27,Male,electronics,81.97,10,40.985,860.685,03-03-2019,14:30,Cash,4.761904762,40.985,9.2,0,21450
479-26-8945,Mandalay,26,Female,computers,16.49,2,1.649,34.629,02-05-2019,11:32,Ewallet,4.761904762,1.649,4.6,0.024404214,33000
210-67-5886,Naypyitaw,25,Female,health_gadget,98.21,3,14.7315,309.3615,02-05-2019,10:41,Credit card,4.761904762,14.7315,7.8,0.119450639,70130
227-78-1148,Mandalay,27,Female,hardisk,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,4.761904762,25.494,8.4,0.121917641,75367
645-44-1170,Yangon,54,Male,home_appliances,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,4.761904762,26.1315,4.3,0.131905128,75305
237-01-6122,Naypyitaw,49,Female,home_appliances,80.79,9,36.3555,763.4655,02-01-2019,20:31,Credit card,4.761904762,36.3555,9.5,0.179043614,51410
225-98-1496,Naypyitaw,30,Female,hardisk,27.02,3,4.053,85.113,03-02-2019,13:01,Credit card,4.761904762,4.053,7.1,0.0152302,79216
291-32-1427,Mandalay,33,Male,hardisk,21.94,5,5.485,115.185,03-05-2019,12:29,Ewallet,4.761904762,5.485,5.3,0.082401592,37280
659-65-8956,Mandalay,34,Male,hardisk,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,4.761904762,2.568,5.2,0.013917468,43435
642-32-2990,Yangon,61,Female,pendrive,10.96,10,5.48,115.08,02-02-2019,20:48,Ewallet,4.761904762,5.48,6,0.038140213,78554
378-24-2715,Mandalay,23,Male,home_appliances,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,4.761904762,5.344,4.1,0.054166556,76946
638-60-7125,Yangon,24,Female,electronics,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,4.761904762,39.824,5.2,0.03229139,79933
659-36-1684,Naypyitaw,25,Male,computers,57.12,7,19.992,419.832,01-12-2019,12:02,Credit card,4.761904762,19.992,6.5,0.108641498,56910
219-22-9386,Mandalay,45,Male,computers,99.96,9,44.982,944.622,03-09-2019,17:26,Credit card,4.761904762,44.982,4.2,0.015105338,81063
336-78-2147,Naypyitaw,34,Male,home_appliances,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,4.761904762,25.564,4.6,0.114650377,70880
268-27-6179,Mandalay,33,Female,hardisk,56.47,8,22.588,474.348,03-09-2019,14:57,Ewallet,4.761904762,22.588,7.3,0.115342009,78944
668-90-8900,Yangon,29,Female,home_appliances,93.69,7,32.7915,688.6215,03-10-2019,18:44,Credit card,4.761904762,32.7915,4.5,0,43870
870-54-3162,Yangon,28,Female,computers,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,4.761904762,8.0625,9,0.00896468,68179
189-08-9157,Naypyitaw,27,Female,hardisk,31.73,9,14.2785,299.8485,01-08-2019,16:17,Credit card,4.761904762,14.2785,5.9,0.082346376,79834
663-86-9076,Naypyitaw,26,Female,pendrive,68.54,8,27.416,575.736,01-08-2019,15:57,Ewallet,4.761904762,27.416,8.5,0.013318,78116
549-84-7482,Mandalay,25,Female,computers,90.28,9,40.626,853.146,02-08-2019,11:15,Ewallet,4.761904762,40.626,7.2,0.01325293,109501
191-10-6171,Mandalay,27,Female,hardisk,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,4.761904762,13.867,7.5,0.017131453,53484
802-70-5316,Yangon,54,Female,computers,92.13,6,27.639,580.419,03-06-2019,20:34,Cash,4.761904762,27.639,8.3,0.022925594,28070
695-51-0018,Mandalay,49,Female,computers,34.84,4,6.968,146.328,02-10-2019,18:36,Cash,4.761904762,6.968,7.4,0.028316137,54664
590-83-4591,Mandalay,30,Male,electronics,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,4.761904762,26.235,8.8,0.052562923,108466
483-71-1164,Naypyitaw,33,Female,health_gadget,81.3,6,24.39,512.19,03-08-2019,16:43,Ewallet,4.761904762,24.39,5.3,0.1837926,106077
597-78-7908,Naypyitaw,34,Male,hardisk,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,4.761904762,13.533,6.2,0.111296158,52784
700-81-1757,Yangon,45,Female,electronics,26.31,5,6.5775,138.1275,1/18/2019,20:59,Credit card,4.761904762,6.5775,8.8,0.029860799,13875
354-39-5160,Yangon,23,Female,home_appliances,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,4.761904762,10.326,9.8,0.130617879,22050
241-72-9525,Mandalay,24,Male,computers,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,4.761904762,25.955,8.2,0.238990225,74554
575-30-8091,Yangon,25,Male,computers,72.5,8,29,609,3/16/2019,19:25,Ewallet,4.761904762,29,9.2,0.103186396,67620
731-81-9469,Naypyitaw,56,Female,computers,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,4.761904762,44.9,5.4,0,70206
280-17-4359,Naypyitaw,34,Male,health_gadget,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,4.761904762,45.25,8.1,0.168186376,35000
338-65-2210,Naypyitaw,33,Female,health_gadget,68.6,10,34.3,720.3,02-05-2019,19:57,Cash,4.761904762,34.3,9.1,0.050255855,79091
488-25-4221,Naypyitaw,29,Female,pendrive,30.41,1,1.5205,31.9305,2/22/2019,10:36,Credit card,4.761904762,1.5205,8.4,0.061173235,78355
239-10-7476,Yangon,28,Female,home_appliances,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,4.761904762,23.385,8,0.029881147,80000
458-41-1477,Naypyitaw,27,Female,health_gadget,46.26,6,13.878,291.438,03-08-2019,17:11,Credit card,4.761904762,13.878,9.5,0.050154219,35934
685-64-1609,Yangon,26,Female,hardisk,30.14,10,15.07,316.47,02-10-2019,12:28,Ewallet,4.761904762,15.07,9.2,0.051837621,41488
568-90-5112,Naypyitaw,25,Male,health_gadget,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,4.761904762,13.228,5.6,0.11013617,50001
262-47-2794,Mandalay,27,Male,home_appliances,71.86,8,28.744,603.624,03-06-2019,15:07,Credit card,4.761904762,28.744,6.2,0.024086626,23526
238-49-0436,Yangon,54,Male,health_gadget,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,4.761904762,12.984,4.9,0.013115567,30000
608-96-3517,Mandalay,49,Female,hardisk,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,4.761904762,18.308,4.8,0,20000
584-86-7256,Naypyitaw,30,Male,computers,34.56,7,12.096,254.016,03-11-2019,16:07,Credit card,4.761904762,12.096,7.3,0.038764258,34413
746-94-0204,Yangon,33,Male,hardisk,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,4.761904762,37.458,7.4,0.07986963,53850
214-17-6927,Naypyitaw,34,Female,pendrive,16.48,6,4.944,103.824,02-07-2019,18:23,Ewallet,4.761904762,4.944,9.9,0.066057085,51171
400-89-4171,Naypyitaw,34,Female,computers,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,4.761904762,32.388,9.3,0.093044518,32067
782-95-9291,Yangon,23,Male,pendrive,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,4.761904762,23.0725,9,0.140771867,46733
279-74-2924,Mandalay,24,Male,electronics,72.17,1,3.6085,75.7785,01-04-2019,19:40,Cash,4.761904762,3.6085,6.1,0.033186809,20166
307-85-2293,Mandalay,25,Male,home_appliances,50.28,5,12.57,263.97,03-07-2019,13:58,Ewallet,4.761904762,12.57,9.7,0.11139344,30618
743-04-1105,Mandalay,24,Male,health_gadget,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,4.761904762,43.749,6,0.049966527,54349
423-57-2993,Mandalay,34,Male,computers,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,4.761904762,28.017,10,0.097212998,53053
894-41-5205,Naypyitaw,33,Female,pendrive,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,4.761904762,17.272,8.3,0.150863781,50823
275-28-0149,Yangon,29,Male,computers,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,4.761904762,3.1845,6,0.091900406,51350
101-17-6199,Yangon,28,Male,pendrive,45.79,7,16.0265,336.5565,3/13/2019,19:44,Credit card,4.761904762,16.0265,7,0.017414576,80608
423-80-0988,Naypyitaw,27,Male,computers,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,4.761904762,7.64,6.5,0.053866912,49707
548-46-9322,Mandalay,26,Male,pendrive,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,4.761904762,19.95,5.9,0.014714625,74000
505-02-0892,Mandalay,25,Male,health_gadget,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,4.761904762,17.028,5.6,0.127140836,50102
234-65-2137,Naypyitaw,27,Male,home_appliances,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,4.761904762,47.79,4.8,0.061923154,23231
687-47-8271,Yangon,54,Male,hardisk,98.98,10,49.49,1039.29,02-08-2019,16:20,Credit card,4.761904762,49.49,8.7,0.122417514,45716
796-32-9050,Yangon,49,Male,pendrive,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,4.761904762,15.384,6.5,0,41799
105-31-1824,Yangon,30,Male,computers,69.52,7,24.332,510.972,02-01-2019,15:10,Credit card,4.761904762,24.332,8.5,0.053858378,32428
249-42-3782,Yangon,33,Male,health_gadget,70.01,5,17.5025,367.5525,01-03-2019,11:36,Ewallet,4.761904762,17.5025,5.5,0.048784266,55000
316-55-4634,Mandalay,34,Male,pendrive,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,4.761904762,20.0125,9.4,0.073080167,40000
733-33-4967,Naypyitaw,23,Male,electronics,20.85,8,8.34,175.14,03-03-2019,19:17,Cash,4.761904762,8.34,6.3,0.184602443,88000
608-27-6295,Mandalay,23,Male,electronics,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,4.761904762,15.867,9.8,0.080582001,159102
414-12-7047,Mandalay,24,Male,pendrive,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,4.761904762,7.916,8.7,0.103856487,50950
827-26-2100,Yangon,25,Male,home_appliances,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,4.761904762,15.228,8.8,0.017500079,20052
175-54-2529,Yangon,43,Male,pendrive,22.17,8,8.868,186.228,03-03-2019,17:01,Credit card,4.761904762,8.868,9.6,0.173275373,30352
139-52-2867,Naypyitaw,34,Female,hardisk,22.51,7,7.8785,165.4485,2/13/2019,10:50,Credit card,4.761904762,7.8785,4.8,0.083393481,68707
407-63-8975,Yangon,33,Male,pendrive,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,4.761904762,22.164,4.4,0.0450476,78908
342-65-4817,Naypyitaw,29,Male,health_gadget,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,4.761904762,13.02,9.9,0.051816577,74324
